City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Prince Rupert,CA,2020-09-01 03:36:14,54.32,-130.32,57.2,93,90,2.24
71,Murud,IN,2020-09-01 03:38:22,18.33,72.97,81.72,81,64,4.14
72,Port Elizabeth,ZA,2020-09-01 03:38:22,-33.92,25.57,57.99,71,100,5.99
73,Lebu,CL,2020-09-01 03:38:22,-37.62,-73.65,45.48,83,0,1.07
74,Nikolskoye,RU,2020-09-01 03:38:23,59.7,30.79,55.4,87,90,6.71
75,Saint-Philippe,RE,2020-09-01 03:38:23,-21.36,55.77,69.8,68,75,6.93
76,Bandarbeyla,SO,2020-09-01 03:38:23,9.49,50.81,81.1,62,11,27.25
77,Chokurdakh,RU,2020-09-01 03:38:23,70.63,147.92,42.39,71,100,12.1
78,Antalaha,MG,2020-09-01 03:38:23,-14.9,50.28,68.83,77,21,6.02
79,Hobart,AU,2020-09-01 03:38:24,-42.88,147.33,55.99,50,75,11.41
80,Fort Abbas,PK,2020-09-01 03:38:24,29.19,72.85,87.66,61,33,9.6
81,Norman Wells,CA,2020-09-01 03:38:24,65.28,-126.83,53.6,93,90,5.73
82,Tabuk,PH,2020-09-01 03:36:15,17.42,121.44,87.93,67,28,3.49
83,Talcahuano,CL,2020-09-01 03:38:25,-36.72,-73.12,42.8,100,0,2.24
84,Olafsvik,IS,2020-09-01 03:38:25,64.89,-23.71,50.31,89,100,9.22
85,Mar Del Plata,AR,2020-09-01 03:37:38,-38.0,-57.56,44.01,60,75,4.7
86,Garowe,SO,2020-09-01 03:38:25,8.41,48.48,78.58,57,0,25.68
87,Katobu,ID,2020-09-01 03:38:26,-4.94,122.53,85.3,71,72,8.95
88,Thompson,CA,2020-09-01 03:38:26,55.74,-97.86,44.6,100,75,6.93
89,Phibun Mangsahan,TH,2020-09-01 03:38:26,15.24,105.23,88.0,79,40,6.93
90,Hilo,US,2020-09-01 03:38:26,19.73,-155.09,80.6,69,90,8.05
91,Puerto Escondido,MX,2020-09-01 03:38:26,15.85,-97.07,82.4,58,40,3.89
92,Karpogory,RU,2020-09-01 03:38:27,64.0,44.45,45.23,86,100,6.15
93,Berbera,SO,2020-09-01 03:38:27,10.44,45.01,90.48,48,100,15.43
94,Faya,SA,2020-09-01 03:38:27,18.39,42.45,66.2,45,7,3.53
95,Ilulissat,GL,2020-09-01 03:38:28,69.22,-51.1,39.2,86,64,2.24
96,Port-Gentil,GA,2020-09-01 03:38:28,-0.72,8.78,74.84,84,100,12.82
97,Beringovskiy,RU,2020-09-01 03:38:28,63.05,179.32,47.55,63,40,9.89
98,Kirakira,SB,2020-09-01 03:38:28,-10.45,161.92,84.61,74,95,13.02
99,Sebeta,ET,2020-09-01 03:38:29,8.92,38.62,53.83,90,100,4.61
100,Cidreira,BR,2020-09-01 03:38:29,-30.18,-50.21,55.89,76,100,15.05
101,Lorengau,PG,2020-09-01 03:38:29,-2.02,147.27,85.33,67,68,5.01
102,Salalah,OM,2020-09-01 03:38:30,17.02,54.09,77.0,100,90,3.36
103,Avarua,CK,2020-09-01 03:38:30,-21.21,-159.78,77.0,69,25,13.87
104,Saint George,US,2020-09-01 03:37:37,37.1,-113.58,89.6,15,1,10.29
